,年,月,日期,收盘价
0,2003,12,2003-12-31,8.96
1,2004,1,2004-01-30,10.44
2,2004,2,2004-02-27,11.0
3,2004,3,2004-03-31,10.41
4,2004,4,2004-04-30,10.56
5,2004,5,2004-05-31,9.32
6,2004,6,2004-06-30,9.22
7,2004,7,2004-07-30,8.44
8,2004,8,2004-08-31,6.95
9,2004,9,2004-09-30,7.24
10,2004,10,2004-10-29,6.66
11,2004,11,2004-11-30,6.07
12,2004,12,2004-12-31,6.1
13,2005,1,2005-01-31,5.48
14,2005,2,2005-02-28,5.31
15,2005,3,2005-03-31,5.45
16,2005,4,2005-04-29,5.23
17,2005,5,2005-05-31,4.06
18,2005,6,2005-06-30,4.3
19,2005,7,2005-07-29,3.67
20,2005,8,2005-08-31,4.33
21,2005,9,2005-09-30,4.7
22,2005,10,2005-10-31,4.36
23,2005,11,2005-11-30,4.12
24,2005,12,2005-12-30,4.17
25,2006,1,2006-01-25,4.18
26,2006,2,2006-02-17,4.0
27,2006,3,2006-03-14,4.0
28,2006,6,2006-06-30,5.1
29,2006,7,2006-07-31,5.66
30,2006,8,2006-08-31,3.34
31,2006,9,2006-09-29,3.46
32,2006,10,2006-10-31,3.9
33,2006,11,2006-11-30,3.5
34,2006,12,2006-12-29,3.7
35,2007,1,2007-01-31,4.39
36,2007,2,2007-02-28,4.92
37,2007,3,2007-03-30,8.02
38,2007,4,2007-04-30,10.33
39,2007,5,2007-05-31,12.08
40,2007,6,2007-06-29,10.4
41,2007,7,2007-07-31,7.38
42,2007,8,2007-08-31,9.21
43,2007,9,2007-09-28,10.64
44,2007,10,2007-10-31,8.97
45,2007,11,2007-11-30,8.64
46,2007,12,2007-12-28,9.51
47,2008,1,2008-01-31,10.67
48,2008,2,2008-02-29,9.26
49,2008,3,2008-03-31,12.11
50,2008,4,2008-04-30,9.7
51,2008,5,2008-05-30,11.2
52,2008,6,2008-06-25,9.1
53,2008,7,2008-07-31,9.81
54,2008,8,2008-08-29,8.92
55,2008,9,2008-09-26,5.01
56,2008,10,2008-10-31,4.68
57,2008,11,2008-11-28,3.89
58,2008,12,2008-12-31,4.41
59,2009,1,2009-01-23,4.37
60,2009,2,2009-02-27,6.07
61,2009,3,2009-03-31,5.99
62,2009,4,2009-04-29,6.54
63,2009,5,2009-05-27,6.44
64,2009,6,2009-06-08,7.04
65,2009,7,2009-07-31,10.97
66,2009,8,2009-08-31,10.34
67,2009,9,2009-09-30,13.5
68,2009,10,2009-10-30,12.88
69,2009,11,2009-11-30,14.47
70,2009,12,2009-12-31,14.56
71,2010,1,2010-01-29,14.92
72,2010,2,2010-02-26,14.9
73,2010,3,2010-03-31,18.77
74,2010,4,2010-04-30,19.31
75,2010,5,2010-05-31,12.91
76,2010,6,2010-06-28,10.76
77,2010,7,2010-07-30,11.26
78,2010,8,2010-08-31,11.14
79,2010,9,2010-09-30,11.38
80,2010,10,2010-10-29,10.31
81,2010,11,2010-11-30,10.97
82,2010,12,2010-12-31,9.65
83,2011,1,2011-01-31,8.98
