,年,月,日期,收盘价
0,2003,12,2003-12-30,8.92
1,2004,1,2004-01-02,9.25
2,2004,2,2004-02-02,9.68
3,2004,3,2004-03-01,9.69
4,2004,4,2004-04-01,8.96
5,2004,5,2004-05-10,8.41
6,2004,6,2004-06-01,7.81
7,2004,7,2004-07-01,6.73
8,2004,8,2004-08-03,5.78
9,2004,9,2004-09-01,5.71
10,2004,10,2004-10-08,5.29
11,2004,11,2004-11-01,5.37
12,2004,12,2004-12-01,5.45
13,2005,1,2005-01-04,4.71
14,2005,2,2005-02-01,4.62
15,2005,3,2005-03-01,4.55
16,2005,4,2005-04-01,3.95
17,2005,5,2005-05-09,3.77
18,2005,6,2005-06-01,3.87
19,2005,7,2005-07-01,3.41
20,2005,8,2005-08-01,3.64
21,2005,9,2005-09-01,4.17
22,2005,10,2005-10-10,3.68
23,2005,11,2005-11-01,3.77
24,2005,12,2005-12-01,3.88
25,2006,1,2006-01-04,3.88
26,2006,2,2006-02-06,3.85
27,2006,3,2006-03-09,3.86
28,2006,6,2006-06-12,4.08
29,2006,7,2006-07-03,3.24
30,2006,8,2006-08-01,2.95
31,2006,9,2006-09-01,3.15
32,2006,10,2006-10-09,3.34
33,2006,11,2006-11-01,3.03
34,2006,12,2006-12-01,3.27
35,2007,1,2007-01-04,3.34
36,2007,2,2007-02-01,3.86
37,2007,3,2007-03-01,5.15
38,2007,4,2007-04-02,8.7
39,2007,5,2007-05-08,8.89
40,2007,6,2007-06-01,5.59
41,2007,7,2007-07-02,5.6
42,2007,8,2007-08-01,6.76
43,2007,9,2007-09-03,8.23
44,2007,10,2007-10-08,6.35
45,2007,11,2007-11-01,7.25
46,2007,12,2007-12-03,7.69
47,2008,1,2008-01-02,7.96
48,2008,2,2008-02-01,7.24
49,2008,3,2008-03-03,9.03
50,2008,4,2008-04-01,8.4
51,2008,5,2008-05-05,9.08
52,2008,6,2008-06-02,7.24
53,2008,7,2008-07-28,8.95
54,2008,8,2008-08-01,4.89
55,2008,9,2008-09-01,3.8
56,2008,10,2008-10-06,2.64
57,2008,11,2008-11-03,2.44
58,2008,12,2008-12-01,3.47
59,2009,1,2009-01-05,3.74
60,2009,2,2009-02-02,4.38
61,2009,3,2009-03-02,4.9
62,2009,4,2009-04-01,5.41
63,2009,5,2009-05-04,5.61
64,2009,6,2009-06-01,6.08
65,2009,7,2009-07-09,7.39
66,2009,8,2009-08-03,8.75
67,2009,9,2009-09-01,10.01
68,2009,10,2009-10-09,11.13
69,2009,11,2009-11-02,12.36
70,2009,12,2009-12-01,12.83
71,2010,1,2010-01-04,12.69
72,2010,2,2010-02-01,12.68
73,2010,3,2010-03-01,15.04
74,2010,4,2010-04-01,13.06
75,2010,5,2010-05-04,9.4
76,2010,6,2010-06-01,9.91
77,2010,7,2010-07-01,9.57
78,2010,8,2010-08-02,10.21
79,2010,9,2010-09-01,10.0
80,2010,10,2010-10-08,9.17
81,2010,11,2010-11-01,9.33
82,2010,12,2010-12-01,8.26
83,2011,1,2011-01-04,8.3
84,2011,2,2011-02-01,8.99
85,2011,3,2011-03-01,9.42
86,2011,4,2011-04-01,9.74
87,2011,5,2011-05-03,11.1
88,2011,6,2011-06-01,7.88
89,2011,7,2011-07-01,10.7
90,2011,8,2011-08-01,11.54
91,2011,9,2011-09-01,16.01
92,2011,10,2011-10-10,16.27
93,2011,11,2011-11-02,16.58
94,2011,12,2011-12-01,14.85
95,2012,1,2012-01-05,16.7
96,2012,2,2012-02-01,18.74
97,2012,3,2012-03-01,21.64
98,2012,4,2012-04-05,22.39
99,2012,5,2012-05-02,14.91
100,2012,6,2012-06-01,16.85
101,2012,7,2012-07-02,16.91
102,2012,8,2012-08-01,16.45
103,2012,9,2012-09-03,16.88
104,2012,10,2012-10-08,17.85
105,2012,11,2012-11-01,20.46
106,2012,12,2012-12-03,22.48
107,2013,1,2013-01-04,25.97
108,2013,2,2013-02-01,24.22
109,2013,3,2013-03-01,22.89
110,2013,4,2013-04-01,24.87
111,2013,5,2013-05-02,26.23
112,2013,6,2013-06-03,28.94
113,2013,7,2013-07-01,32.01
114,2013,8,2013-08-01,34.39
115,2013,9,2013-09-02,32.48
116,2013,10,2013-10-08,22.27
117,2013,11,2013-11-01,19.65
118,2013,12,2013-12-02,19.7
119,2014,1,2014-01-02,17.0
120,2014,2,2014-02-07,16.79
121,2014,3,2014-03-03,19.77
122,2014,4,2014-04-01,24.82
123,2014,5,2014-05-05,23.39
124,2014,6,2014-06-03,24.8
125,2014,7,2014-07-01,24.65
126,2014,8,2014-08-01,25.5
127,2014,9,2014-09-01,24.92
128,2014,10,2014-10-08,24.59
129,2014,11,2014-11-03,26.74
130,2014,12,2014-12-01,32.28
131,2015,1,2015-01-05,42.0
132,2015,2,2015-02-02,45.93
133,2015,3,2015-03-02,44.25
134,2015,4,2015-04-01,53.43
135,2015,5,2015-05-04,26.62
136,2015,6,2015-06-01,26.99
137,2015,7,2015-07-01,23.18
138,2015,8,2015-08-03,22.19
139,2015,9,2015-09-01,21.9
140,2015,10,2015-10-08,23.17
141,2015,11,2015-11-02,24.43
142,2015,12,2015-12-01,26.21
143,2016,1,2016-01-04,21.71
144,2016,2,2016-02-01,22.0
145,2016,3,2016-03-01,23.06
146,2016,4,2016-04-01,23.34
147,2016,5,2016-05-03,23.54
148,2016,6,2016-06-01,24.08
149,2016,7,2016-07-01,24.56
150,2016,8,2016-08-01,25.26
151,2016,9,2016-09-01,26.25
152,2016,10,2016-10-10,27.32
153,2016,11,2016-11-01,26.06
154,2016,12,2016-12-01,23.66
155,2017,1,2017-01-03,23.83
156,2017,2,2017-02-03,24.22
157,2017,3,2017-03-01,25.55
158,2017,4,2017-04-05,29.99
159,2017,5,2017-05-02,30.73
160,2017,6,2017-06-01,33.58
161,2017,7,2017-07-03,30.46
162,2017,8,2017-08-01,31.41
163,2017,9,2017-09-01,30.81
164,2017,10,2017-10-09,30.46
165,2017,11,2017-11-01,30.31
166,2017,12,2017-12-01,30.81
167,2018,1,2018-01-02,32.26
168,2018,2,2018-02-01,34.22
169,2018,3,2018-03-01,31.73
170,2018,4,2018-04-02,27.85
171,2018,5,2018-05-02,26.8
172,2018,6,2018-06-01,25.07
173,2018,7,2018-07-02,23.02
174,2018,8,2018-08-01,22.58
175,2018,9,2018-09-03,23.62
176,2018,10,2018-10-08,20.67
177,2018,11,2018-11-01,22.61
178,2018,12,2018-12-03,25.06
179,2019,1,2019-01-02,25.05
180,2019,2,2019-02-01,27.88
181,2019,3,2019-03-01,28.74
182,2019,4,2019-04-01,30.58
183,2019,5,2019-05-06,28.8
184,2019,6,2019-06-03,29.08
185,2019,7,2019-07-01,29.2
186,2019,8,2019-08-01,26.05
187,2019,9,2019-09-02,26.41
188,2019,10,2019-10-08,27.71
189,2019,11,2019-11-01,27.45
190,2019,12,2019-12-02,26.66
191,2020,1,2020-01-02,27.61
