年,月,日期,最低价,最高价
2003,12,2003-12,8.92,8.96
2004,1,2004-01,9.25,10.44
2004,2,2004-02,9.68,11.0
2004,3,2004-03,9.69,10.41
2004,4,2004-04,8.96,10.56
2004,5,2004-05,8.41,9.32
2004,6,2004-06,7.81,9.22
2004,7,2004-07,6.73,8.44
2004,8,2004-08,5.78,6.95
2004,9,2004-09,5.71,7.24
2004,10,2004-10,5.29,6.66
2004,11,2004-11,5.37,6.07
2004,12,2004-12,5.45,6.1
2005,1,2005-01,4.71,5.48
2005,2,2005-02,4.62,5.31
2005,3,2005-03,4.55,5.45
2005,4,2005-04,3.95,5.23
2005,5,2005-05,3.77,4.06
2005,6,2005-06,3.87,4.3
2005,7,2005-07,3.41,3.67
2005,8,2005-08,3.64,4.33
2005,9,2005-09,4.17,4.7
2005,10,2005-10,3.68,4.36
2005,11,2005-11,3.77,4.12
2005,12,2005-12,3.88,4.17
2006,1,2006-01,3.88,4.18
2006,2,2006-02,3.85,4.0
2006,3,2006-03,3.86,4.0
2006,6,2006-06,4.08,5.1
2006,7,2006-07,3.24,5.66
2006,8,2006-08,2.95,3.34
2006,9,2006-09,3.15,3.46
2006,10,2006-10,3.34,3.9
2006,11,2006-11,3.03,3.5
2006,12,2006-12,3.27,3.7
2007,1,2007-01,3.34,4.39
2007,2,2007-02,3.86,4.92
2007,3,2007-03,5.15,8.02
2007,4,2007-04,8.7,10.33
2007,5,2007-05,8.89,12.08
2007,6,2007-06,5.59,10.4
2007,7,2007-07,5.6,7.38
2007,8,2007-08,6.76,9.21
2007,9,2007-09,8.23,10.64
2007,10,2007-10,6.35,8.97
2007,11,2007-11,7.25,8.64
2007,12,2007-12,7.69,9.51
2008,1,2008-01,7.96,10.67
2008,2,2008-02,7.24,9.26
2008,3,2008-03,9.03,12.11
2008,4,2008-04,8.4,9.7
2008,5,2008-05,9.08,11.2
2008,6,2008-06,7.24,9.1
2008,7,2008-07,8.95,9.81
2008,8,2008-08,4.89,8.92
2008,9,2008-09,3.8,5.01
2008,10,2008-10,2.64,4.68
2008,11,2008-11,2.44,3.89
2008,12,2008-12,3.47,4.41
2009,1,2009-01,3.74,4.37
2009,2,2009-02,4.38,6.07
2009,3,2009-03,4.9,5.99
2009,4,2009-04,5.41,6.54
2009,5,2009-05,5.61,6.44
2009,6,2009-06,6.08,7.04
2009,7,2009-07,7.39,10.97
2009,8,2009-08,8.75,10.34
2009,9,2009-09,10.01,13.5
2009,10,2009-10,11.13,12.88
2009,11,2009-11,12.36,14.47
2009,12,2009-12,12.83,14.56
2010,1,2010-01,12.69,14.92
2010,2,2010-02,12.68,14.9
2010,3,2010-03,15.04,18.77
2010,4,2010-04,13.06,19.31
2010,5,2010-05,9.4,12.91
2010,6,2010-06,9.91,10.76
2010,7,2010-07,9.57,11.26
2010,8,2010-08,10.21,11.14
2010,9,2010-09,10.0,11.38
2010,10,2010-10,9.17,10.31
2010,11,2010-11,9.33,10.97
2010,12,2010-12,8.26,9.65
2011,1,2011-01,8.3,8.98
2011,2,2011-02,8.99,9.82
2011,3,2011-03,9.42,10.03
2011,4,2011-04,9.74,11.74
2011,5,2011-05,11.1,13.55
2011,6,2011-06,7.88,10.36
2011,7,2011-07,10.7,13.54
2011,8,2011-08,11.54,16.02
2011,9,2011-09,16.01,19.92
2011,10,2011-10,16.27,18.18
2011,11,2011-11,16.58,20.19
2011,12,2011-12,14.85,18.34
2012,1,2012-01,16.7,18.7
2012,2,2012-02,18.74,25.25
2012,3,2012-03,21.64,26.36
2012,4,2012-04,22.39,24.68
2012,5,2012-05,14.91,25.53
2012,6,2012-06,16.85,18.4
2012,7,2012-07,16.91,19.44
2012,8,2012-08,16.45,18.76
2012,9,2012-09,16.88,18.2
2012,10,2012-10,17.85,20.79
2012,11,2012-11,20.46,22.42
2012,12,2012-12,22.48,28.23
2013,1,2013-01,25.97,28.76
2013,2,2013-02,24.22,27.15
2013,3,2013-03,22.89,25.96
2013,4,2013-04,24.87,27.45
2013,5,2013-05,26.23,35.18
2013,6,2013-06,28.94,34.5
2013,7,2013-07,32.01,36.18
2013,8,2013-08,34.39,37.86
2013,9,2013-09,32.48,37.58
2013,10,2013-10,22.27,34.47
2013,11,2013-11,19.65,23.8
2013,12,2013-12,19.7,22.25
2014,1,2014-01,17.0,20.79
2014,2,2014-02,16.79,21.53
2014,3,2014-03,19.77,28.93
2014,4,2014-04,24.82,31.02
2014,5,2014-05,23.39,27.36
2014,6,2014-06,24.8,27.17
2014,7,2014-07,24.65,29.39
2014,8,2014-08,25.5,27.94
2014,9,2014-09,24.92,27.76
2014,10,2014-10,24.59,26.67
2014,11,2014-11,26.74,35.45
2014,12,2014-12,32.28,43.6
2015,1,2015-01,42.0,50.42
2015,2,2015-02,45.93,49.68
2015,3,2015-03,44.25,57.21
2015,4,2015-04,53.43,62.39
2015,5,2015-05,26.62,33.69
2015,6,2015-06,26.99,34.37
2015,7,2015-07,23.18,29.63
2015,8,2015-08,22.19,31.27
2015,9,2015-09,21.9,25.74
2015,10,2015-10,23.17,26.88
2015,11,2015-11,24.43,27.51
2015,12,2015-12,26.21,33.02
2016,1,2016-01,21.71,28.79
2016,2,2016-02,22.0,24.35
2016,3,2016-03,23.06,25.81
2016,4,2016-04,23.34,25.37
2016,5,2016-05,23.54,26.48
2016,6,2016-06,24.08,25.17
2016,7,2016-07,24.56,27.01
2016,8,2016-08,25.26,27.71
2016,9,2016-09,26.25,28.89
2016,10,2016-10,27.32,28.2
2016,11,2016-11,26.06,28.08
2016,12,2016-12,23.66,26.6
2017,1,2017-01,23.83,24.74
2017,2,2017-02,24.22,26.94
2017,3,2017-03,25.55,27.5
2017,4,2017-04,29.99,44.39
2017,5,2017-05,30.73,37.62
2017,6,2017-06,33.58,35.93
2017,7,2017-07,30.46,33.7
2017,8,2017-08,31.41,33.62
2017,9,2017-09,30.81,33.38
2017,10,2017-10,30.46,31.18
2017,11,2017-11,30.31,32.68
2017,12,2017-12,30.81,32.62
2018,1,2018-01,32.26,45.06
2018,2,2018-02,34.22,45.94
2018,3,2018-03,31.73,38.45
2018,4,2018-04,27.85,33.16
2018,5,2018-05,26.8,29.89
2018,6,2018-06,25.07,29.11
2018,7,2018-07,23.02,27.31
2018,8,2018-08,22.58,25.1
2018,9,2018-09,23.62,25.87
2018,10,2018-10,20.67,24.04
2018,11,2018-11,22.61,26.54
2018,12,2018-12,25.06,28.34
2019,1,2019-01,25.05,27.33
2019,2,2019-02,27.88,31.7
2019,3,2019-03,28.74,32.8
2019,4,2019-04,30.58,34.51
2019,5,2019-05,28.8,31.36
2019,6,2019-06,29.08,32.7
2019,7,2019-07,29.2,33.39
2019,8,2019-08,26.05,28.66
2019,9,2019-09,26.41,28.16
2019,10,2019-10,27.71,29.9
2019,11,2019-11,27.45,29.2
2019,12,2019-12,26.66,28.7
2020,1,2020-01,27.61,28.8
