,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31
资产总计(万元),7161457.0,5766016.0,4413489.0,88541.0,96392.0,115122.0,103809.0,103380.0,81084.0,37005.0,26862.0,19383.0,11647.0
存货(万元),81805.0,44636.0,39601.0,15077.0,15510.0,15551.0,11950.0,9059.0,10041.0,5404.0,3931.0,3798.0,2727.0
流动资产合计(万元),3192161.0,3148962.0,2133317.0,59428.0,65967.0,86397.0,75459.0,77648.0,62703.0,28652.0,21017.0,15298.0,8715.0
负债合计(万元),3470063.0,2492753.0,2357822.0,17741.0,24603.0,42632.0,32622.0,31524.0,9479.0,21356.0,14214.0,10893.0,8854.0
流动负债合计(万元),2636936.0,2154460.0,1838696.0,17077.0,19239.0,41968.0,30098.0,27760.0,8815.0,15892.0,13550.0,10219.0,8180.0
实收资本(或股本)(万元),441877.0,441102.0,418368.0,11675.0,7783.0,7783.0,7783.0,7783.0,7783.0,5833.0,5833.0,5833.0,1000.0
营运资金,555225.0,994502.0,294621.0,42351.0,46728.0,44429.0,45361.0,49888.0,53888.0,12760.0,7467.0,5079.0,535.0
酸性测试,True,True,True,True,True,True,True,True,True,True,True,True,False
流动资产价值,1.2565148219979767,2.2545851072994454,0.7042149495181276,3.627494646680942,6.003854554798921,5.70846717204163,5.8282153411281,6.409867660285237,6.923808300141333,2.187553574489971,1.280130293159609,0.8707354705983199,0.535
账面价值,8.353894862144896,7.420648738840449,4.913537842282392,6.06423982869379,9.223821148657331,9.313889245792112,9.146473082358987,9.23242965437492,9.200179879223949,2.6828390193725355,2.168352477284416,1.4555117435282017,2.793
资产负债率,0.4845470691229452,0.43231808583257486,0.5342308545461425,0.20037044984809296,0.255239023985393,0.37032018206771944,0.31425020951940585,0.3049332559489263,0.11690345814217355,0.5771112011890285,0.5291489836944382,0.5619873084661817,0.7601957585644372
