报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),3824455,2873061,2512946,2639583,3006210,1770422,1230848,1132419,1284313,1759552,1073836,645781,310303,153028,50553,24486,
营业收入(万元),3824455,2873061,2512946,2639583,3006210,1770422,1230848,1132419,1284313,1759552,1073836,645781,310303,153028,50553,24486,
利息收入(万元),0,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
已赚保费(万元),0,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),0,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),3744910,2683825,2311526,2375023,2735108,1621317,1221532,1160316,1269366,1538964,900212,557854,249418,121370,39965,20400,
营业成本(万元),3097277,2127123,1753046,1867141,2209301,1291846,970232,958418,1071436,1346732,791556,487298,217823,106573,36715,18242,
利息支出(万元),0,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),0,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),94615,106203,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),0,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
赔付支出净额(万元),0,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
保单红利支出(万元),0,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
分保费用(万元),0,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),10908,15967,16093,16465,16586,8722,8494,5530,3179,9229,4724,2034,1086,574,146,92,
销售费用(万元),260242,166573,190578,203279,275707,137137,113452,81330,94346,106161,67013,27838,9950,3288,635,556,
管理费用(万元),162131,161197,247310,190961,163576,119119,83915,71274,73869,41762,27634,23701,15279,8707,1686,1159,
财务费用(万元),119736,95685,78583,75990,49144,52179,32076,33031,24879,16287,6039,4176,2257,1190,359,295,
资产减值损失(万元),--,1144,25916,21187,20795,12314,13363,10732,1656,18793,3245,12807,3024,1038,424,55,
公允价值变动收益(万元),17478,20407,-1567,2362,-2246,147,357,164,3126,851,-380,-228,0,0,133,-133,
投资收益(万元),133954,134644,121291,62186,36233,55980,37887,41097,51708,47620,21449,26562,117,53,223,118,
对联营企业和合营企业的投资收益(万元),36121,26646,21031,19175,16154,8734,14810,12023,10325,1573,374,--,--,4,80,-25,
汇兑收益(万元),0,0,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),257140,371842,350868,329108,305088,205232,47560,13364,69781,269059,194692,114262,61002,31712,10943,4072,
营业外收入(万元),5545,543,823,28823,24253,12177,5519,10135,17652,11381,5650,2236,1686,40,233,132,
营业外支出(万元),6574,4142,2635,2736,4658,6510,2524,2814,989,469,1286,231,25,16,10,--,
非流动资产处置损失(万元),--,--,--,313,345,460,36,181,683,51,930,17,2,1,8,--,
利润总额(万元),256111,368243,349056,355196,324683,210899,50555,20686,86443,279972,199056,116267,62663,31737,11166,4204,
所得税费用(万元),33135,39983,34175,44622,37144,25547,7192,4139,14645,41588,19995,12587,-808,-222,-64,-12,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),222975,328260,314881,310573,287539,185351,43364,16547,71799,238384,179060,103680,63472,31958,11230,4216,
归属于母公司所有者的净利润(万元),220985,321660,305466,300298,284950,182968,42765,15305,60671,228952,174558,91453,62960,31962,11230,4216,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
少数股东损益(万元),1990,6599,9415,10275,2589,2383,599,1241,11128,9432,4502,12227,512,-4,-0,--,
基本每股收益,0.51,0.88,0.84,1.08,1.05,0.68,0.16,0.06,0.23,0.99,1.25,0.91,1.4,3.2,1.6,1.31,
稀释每股收益,0.51,0.88,0.84,1.08,1.05,0.68,0.16,0.06,0.23,0.99,1.25,0.91,1.4,3.2,1.6,1.31,
