报告日期,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),3283548,2646597,2614943,2366569,1884446,1332909,1007783,733188,541009,353121,220521,151628,83594,63202,40519,44554,29314,
营业收入(万元),3283548,2646597,2614943,2366569,1884446,1332909,1007783,733188,541009,353121,220521,151628,83594,63202,40519,44554,29314,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),2956172,2370019,2299675,2158161,1691917,1190531,888480,641277,448400,292430,187027,127704,74499,55047,32822,42044,25938,
营业成本(万元),2005851,1516433,1539619,1487118,1163949,830333,632673,453543,309342,202441,127305,86015,51155,38654,23846,29480,19397,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),345198,299755,279422,228387,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),18253,16168,18258,19238,14163,8511,7870,6141,5515,2729,1723,944,541,393,325,240,111,
销售费用(万元),466397,429112,395295,336538,241670,163814,114276,68084,56454,46138,29948,22461,13306,7631,3925,4139,2340,
管理费用(万元),95502,78510,74088,63297,230841,183148,123437,107746,69328,38561,26404,17933,9366,9135,4858,6788,3618,
财务费用(万元),24971,30041,-7008,-12317,16743,-8189,-9004,-2173,-2096,-1234,-1027,-783,-801,-945,-102,192,105,
资产减值损失(万元),--,--,--,35900,24551,12915,19228,7936,9856,3795,2672,1134,933,179,-30,1205,367,
公允价值变动收益(万元),12538,18573,4186,-3860,--,285,-523,89,397,-184,-93,27,1,-1,--,--,--,
投资收益(万元),-19426,97559,-9557,-7929,-2951,664,1401,756,775,-103,-404,-0,0,-52,93,718,--,
对联营企业和合营企业的投资收益(万元),-26944,-18128,-11571,-3605,-3746,166,72,-79,-125,-101,37,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),347219,425695,349688,270007,263227,143327,120182,92757,93782,60405,32997,23951,9097,8101,7789,3228,3376,
营业外收入(万元),1204,1165,1148,7720,2263,59209,39228,33565,19335,15487,8650,5148,3785,3204,2033,2130,1530,
营业外支出(万元),1457,1983,980,411,1269,1303,1585,1037,593,434,312,281,97,194,95,111,27,
非流动资产处置损失(万元),--,--,--,--,--,65,10,12,-9,17,26,17,26,51,40,42,--,
利润总额(万元),346966,424877,349856,277316,264221,201234,157825,125284,112524,75458,41335,28818,12785,11111,9727,5247,4879,
所得税费用(万元),5811,31353,33770,17856,26542,20219,19712,10858,-490,5793,3779,2855,1074,707,1149,372,303,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),341155,393524,316086,259459,237679,181015,138112,114426,113014,69665,37556,25963,11711,10404,8577,4875,4576,
归属于母公司所有者的净利润(万元),337841,390278,318814,252943,237873,182520,137230,114268,113092,70016,37798,26029,11719,10413,8575,4773,4191,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),3314,3246,-2729,6517,-194,-1505,882,159,-78,-350,-242,-66,-8,-9,3,102,385,
基本每股收益,1.15,1.34,1.1,0.87,0.82,0.63,1.2,1.01,1,1.25,1.35,1.91,1.75,1.74,1.71,0.95,1.4,
稀释每股收益,1.15,1.33,1.1,0.87,0.82,0.63,1.18,1.01,1,1.25,1.35,1.91,1.75,1.74,1.71,0.95,1.4,
