报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),168448,140090,102636,66568,51788,46961,39085,36203,35100,33231,29116,23605,
营业收入(万元),168448,140090,102636,66568,51788,46961,39085,36203,35100,33231,29116,23605,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),115551,96677,70057,44243,37175,35096,29099,26698,26695,25943,20096,16693,
营业成本(万元),78285,67886,47274,30072,24425,21910,18097,17080,16594,15240,12783,11713,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),5093,4077,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1238,1539,1259,866,458,414,320,335,335,312,298,192,
销售费用(万元),25666,15446,10073,5548,6263,5912,4935,4832,5048,4899,3816,1867,
管理费用(万元),6578,8070,11641,7955,6278,6970,6207,5222,4791,5647,3190,2890,
财务费用(万元),-1309,-399,-224,-232,-259,-139,-454,-786,-63,-78,-79,164,
资产减值损失(万元),--,58,34,33,10,29,-7,15,-10,-77,87,-134,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),351,1086,3200,1730,2615,3175,2061,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),53476,44560,35900,24055,17228,15040,12048,9505,8405,7288,9020,6912,
营业外收入(万元),12,12,23,221,1094,906,909,1190,1300,937,1399,543,
营业外支出(万元),58,164,29,565,205,364,162,157,50,60,79,119,
非流动资产处置损失(万元),--,--,--,478,60,247,16,1,4,--,25,--,
利润总额(万元),53430,44409,35893,23711,18117,15582,12795,10537,9655,8166,10340,7335,
所得税费用(万元),7428,6656,5374,3445,2553,1809,2027,1732,1572,1905,1729,1050,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),46001,37753,30519,20266,15564,13773,10768,8805,8083,6261,8611,6285,
归属于母公司所有者的净利润(万元),46001,37753,30519,20266,15564,13773,10768,8805,8083,6261,8611,6285,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,760,1555,985,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.71,0.59,0.48,0.32,0.39,0.69,0.54,0.49,0.54,0.42,--,0.42,
稀释每股收益,0.71,0.59,0.48,0.32,0.39,0.69,0.54,0.49,0.54,0.42,--,0.42,
