报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
营业总收入(万元),6087518,5082792,4563796,3302642,2330377,2085312,1742933,1771520,1597279,1242669,
营业收入(万元),6087518,5082792,4563796,3302642,2330377,2085312,1742933,--,1597279,--,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),4801094,3850604,3536258,2574967,1661223,1505757,1305348,--,1092737,--,
营业成本(万元),3547146,2850385,2518504,1808501,1177941,1046487,898060,--,805998,--,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),148344,101983,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),69987,63277,62755,43707,38794,30415,25538,--,22082,--,
销售费用(万元),7900,10212,9109,9970,238,405,411,400,112,100,
管理费用(万元),257943,236290,305347,291630,176530,160304,116216,97300,99607,67200,
财务费用(万元),769774,600087,610681,405531,263368,263618,257333,305000,156023,37200,
资产减值损失(万元),--,10719,29862,15628,4351,4529,7789,--,8916,--,
公允价值变动收益(万元),447,1608,20744,12041,1501,-35416,16341,--,-14089,--,
投资收益(万元),130706,104456,231214,112772,51689,60263,32598,44695,25661,21742,
对联营企业和合营企业的投资收益(万元),109641,102951,60264,129055,69840,46073,31269,--,5537,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1658761,1494577,1429339,852488,722344,604403,486525,--,516115,--,
营业外收入(万元),1833,764,429,139981,141616,164288,134506,--,103367,--,
营业外支出(万元),5084,5393,4306,2177,1541,3022,2101,--,3175,--,
非流动资产处置损失(万元),--,--,--,1565,1254,2767,1618,--,2478,--,
利润总额(万元),1655510,1489948,1425462,990291,862418,765668,618929,599100,616307,651000,
所得税费用(万元),176985,121780,145771,73257,100764,89312,102034,84100,92007,129800,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),1478524,1368168,1279691,917034,761654,676357,516895,--,524300,--,
归属于母公司所有者的净利润(万元),946570,870263,962544,740490,631067,562805,429210,515000,457410,521200,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),531954,497904,317146,176544,130587,113552,87685,--,66890,--,
基本每股收益,0.2,0.19,0.21,0.16,0.14,0.17,--,--,--,--,
稀释每股收益,0.2,--,--,0.16,0.14,0.17,--,--,--,--,
