报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),2746514,1998220,1681783,90778,91856,80848,85613,96377,108562,87170,89548,81883,65219,
营业收入(万元),2746514,1998220,1681783,90778,91856,80848,85613,96377,108562,87170,89548,81883,65219,
利息收入(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
营业总成本(万元),2505956,1835373,1511092,85264,86800,72747,72942,78650,86818,72849,79327,72643,58070,
营业成本(万元),2383417,1763737,1453773,70358,72152,59327,60031,65216,74901,64312,69137,62402,50420,
利息支出(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
研发费用(万元),4969,--,--,--,--,--,--,--,--,0,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
营业税金及附加(万元),8330,5043,4456,558,403,558,719,793,260,116,91,94,82,
销售费用(万元),4520,5281,7572,10246,9496,7903,7042,6732,6538,3968,4286,4143,3227,
管理费用(万元),101671,61556,46080,5654,5544,5442,5389,5177,4416,4362,4840,4631,3877,
财务费用(万元),-1849,-2306,-1158,-2001,-902,-371,-676,122,329,-8,481,677,340,
资产减值损失(万元),4899,2062,369,449,107,-113,436,611,374,100,492,696,124,
公允价值变动收益(万元),-10,0,--,146,103,13,21,92,-50,142,-406,-422,501,
投资收益(万元),8533,19714,3268,3786,4215,2256,2635,1229,1279,3824,-26,8095,116,
对联营企业和合营企业的投资收益(万元),-617,-30,--,-22,-86,26,9,-20,-8,-21,-148,-3,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
营业利润(万元),252805,183780,173959,9446,9373,10371,15326,19048,22973,18287,9789,16912,7765,
营业外收入(万元),8053,9462,10148,394,279,415,204,663,120,36,66,65,68,
营业外支出(万元),2944,2622,1281,164,243,158,1213,217,66,104,238,16,72,
非流动资产处置损失(万元),--,--,229,42,36,151,3,15,18,44,53,4,71,
利润总额(万元),257913,190620,182826,9677,9409,10629,14317,19495,23028,18219,9617,16962,7760,
所得税费用(万元),64744,45935,45635,2646,2457,2973,3796,4864,5372,4292,2129,3528,1343,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,
净利润(万元),193169,144685,137191,7030,6952,7656,10521,14630,17656,13926,7488,13434,6417,
归属于母公司所有者的净利润(万元),190398,144269,137194,4514,4823,5415,7700,11692,13819,11107,5348,10809,4557,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
少数股东损益(万元),2771,416,-3,2516,2129,2241,2821,2938,3837,2819,2140,2624,1861,
基本每股收益,0.67,0.51,0.57,0.27,0.29,0.33,0.47,0.71,0.84,0.67,0.32,0.66,0.28,
稀释每股收益,0.67,0.51,0.57,--,--,--,0.47,0.71,0.84,0.67,0.32,0.66,0.28,
