报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),10520954,8379859,5963542,5382059,3833469,2688555,2105975,1207694,779001,25261,18338,30208,30636,23239,
营业收入(万元),10520954,8379859,5963542,5382059,3833469,2688555,2105975,1207694,779001,25261,18338,30208,30636,23239,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),8060357,6770752,4749831,4541728,3173544,2191197,1750404,956101,604617,25243,18637,33822,33191,23451,
营业成本(万元),5925265,4891884,3105180,3604515,2510336,1726920,1393904,728801,452380,19558,15017,25330,24819,17474,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),1046,1357,--,--,--,--,--,--,--,--,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),862059,536030,518380,313477,270902,186668,141327,78450,45874,67,48,112,46,27,
销售费用(万元),189327,188212,196293,187522,123644,95355,87315,71821,53448,2955,971,3403,3831,3456,
管理费用(万元),804494,804485,748750,362276,255162,175351,115059,77733,52427,2297,2024,3659,3357,2284,
财务费用(万元),278167,96255,98003,56302,131,2807,11491,-1819,-174,43,247,442,312,223,
资产减值损失(万元),--,252528,83225,17636,13368,4095,1308,1115,662,322,330,875,826,-12,
公允价值变动收益(万元),5042,10073,--,--,--,--,--,--,-15,-4,--,0,0,0,
投资收益(万元),30314,161398,73448,41497,30379,9016,2483,-111,560,-29,13,-129,-262,19,
对联营企业和合营企业的投资收益(万元),-1902,-2320,-760,-5932,-241,-35,-68,-111,-16,--,--,-22,104,-164,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),2254620,1787110,1287780,881827,690304,506373,358054,251481,174928,-15,-285,-3743,-2818,-193,
营业外收入(万元),5660,1546,7115,19809,8452,1352,1089,648,294,330,1219,26,35,1210,
营业外支出(万元),34609,45586,14986,4085,3900,1761,544,163,986,94,188,107,87,61,
非流动资产处置损失(万元),--,--,--,9,3,1,0,5,8,22,182,69,28,3,
利润总额(万元),2225671,1743070,1279908,897552,694856,505964,358599,251966,174237,221,747,-3824,-2870,956,
所得税费用(万元),757176,562796,399251,280740,196147,125823,89962,65294,46299,--,--,29,247,206,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
净利润(万元),1468495,1180275,880657,616812,498709,380141,268638,186672,127938,221,747,-3853,-3117,749,
归属于母公司所有者的净利润(万元),1461178,1174579,878081,649158,480077,353754,271489,178362,135797,221,747,-3882,-3218,706,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
少数股东损益(万元),7317,5695,2577,-32346,18632,26387,-2852,8309,-7859,--,--,29,101,44,
基本每股收益,4.75,3.79,2.83,2.22,1.81,2.67,2.05,2.02,2.31,0.02,0.05,-0.27,-0.22,0.05,
稀释每股收益,4.7,3.77,2.83,2.22,1.81,2.67,2.05,2.02,2.31,0.02,0.05,-0.27,-0.22,0.05,
