报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),8691100,7139100,5200400,4763300,6501900,6680800,7499100,9038500,9516900,7293400,9286200,7053100,5858000,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,0,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
收到的税费返还(万元),3500,3500,1600,2000,2100,1200,38200,13200,--,80000,--,12300,35400,
收到的其他与经营活动有关的现金(万元),7200,3400,9400,33300,19400,33400,10600,33800,67200,29200,5900,600,500,
经营活动现金流入小计(万元),8701800,7146000,5211400,4798600,6523400,6715400,7547900,9085500,9584100,7402600,9292100,7066000,5893900,
购买商品、接受劳务支付的现金(万元),6510500,5520500,3879700,3438200,5467900,4986500,6889300,8073700,8012100,6387900,6878000,5225500,4017400,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
支付给职工以及为职工支付的现金(万元),481100,403900,409800,407600,409900,346200,263400,255700,269800,255400,258900,202700,170200,
支付的各项税费(万元),491400,283800,240200,163300,119000,166200,120900,139800,272000,225500,861100,738400,524000,
支付的其他与经营活动有关的现金(万元),389400,311000,246800,275800,312900,160200,129000,150000,127600,78900,100300,108800,80500,
经营活动现金流出小计(万元),7872400,6519200,4776500,4284900,6309700,5659100,7402600,8619200,8681500,6947700,8098300,6275400,4792100,
经营活动产生的现金流量净额(万元),829400,626800,434900,513700,213700,1056300,145300,466300,902600,454900,1193800,790600,1101800,
收回投资所收到的现金(万元),--,--,--,14900,--,--,--,--,--,--,--,--,0,
取得投资收益所收到的现金(万元),37900,36300,39600,68500,54100,40800,23600,2800,9300,4700,1700,400,300,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1200,100,14800,400,400,2800,600,300,500,2300,500,6100,5100,
处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
收到的其他与投资活动有关的现金(万元),16700,24500,36900,31100,12600,27100,3600,4300,8700,173000,40900,40500,49100,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
投资活动现金流入小计(万元),55800,60900,91300,114900,67100,70700,27800,7400,18500,180000,43100,47000,54500,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),282500,186800,139300,380700,441600,294800,291800,550600,491000,687000,1468400,1818100,1053800,
投资所支付的现金(万元),153200,4600,--,7000,68000,11800,11200,11400,2500,14300,130100,24800,35400,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
支付的其他与投资活动有关的现金(万元),8300,4000,7000,--,--,23100,--,--,--,--,--,--,175400,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
投资活动现金流出小计(万元),444000,195400,146300,387700,509600,329700,303000,562000,493500,701300,1598500,1842900,1264600,
投资活动产生的现金流量净额(万元),-388200,-134500,-55000,-272800,-442500,-259000,-275200,-554600,-475000,-521300,-1555400,-1795900,-1210100,
吸收投资收到的现金(万元),300,--,--,1100,34300,--,30000,46300,--,--,--,--,0,
其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,1100,34300,--,30000,46300,--,--,--,--,0,
取得借款收到的现金(万元),2118100,2091800,2694500,3012300,2498200,2792400,5333900,2442100,2526500,2014000,1622000,1912200,1392000,
发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
收到其他与筹资活动有关的现金(万元),38000,8700,--,--,--,--,--,--,--,--,--,1997800,0,
筹资活动现金流入小计(万元),2156400,2100500,2694500,3013400,2532500,2792400,5363900,2488400,2526500,2014000,1622000,3910000,1392000,
偿还债务支付的现金(万元),2311500,2392300,3105200,2886100,2081500,3643600,5033400,2255000,2607700,1708400,1179500,1791700,1024400,
分配股利、利润或偿付利息所支付的现金(万元),288900,153100,130300,178200,163600,145800,229800,264900,198500,308600,550900,479700,159600,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
支付其他与筹资活动有关的现金(万元),50300,500,300,700,--,--,--,11200,7000,3800,5900,5700,3200,
