报告日期,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
销售商品、提供劳务收到的现金(万元),3338484,2872146,2498784,2171049,1612564,1161595,787098,540552,394787,309047,223325,158247,86519,69222,44902,38040,30088,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
收到的税费返还(万元),160425,214597,176510,161341,152470,110780,95923,51691,25918,19985,9126,6498,2706,2746,1642,1758,709,
收到的其他与经营活动有关的现金(万元),122165,57150,53683,32423,22318,21583,7776,11788,8343,5021,2853,2921,2362,3470,1889,2878,1191,
经营活动现金流入小计(万元),3621074,3143893,2728977,2364813,1787352,1293958,890797,604031,429048,334052,235303,167666,91586,75438,48433,42675,31988,
购买商品、接受劳务支付的现金(万元),2390349,1679538,1679179,1487224,1054279,773851,549436,358123,234039,182928,159386,113178,62544,53960,29489,28695,20868,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
支付给职工以及为职工支付的现金(万元),639894,572031,466988,422446,315094,220962,153878,120098,77394,48485,29134,17569,10836,7126,4045,4144,1962,
支付的各项税费(万元),212103,209164,172464,163105,138935,102161,69099,62984,36957,25809,16555,8715,5347,5314,4189,2718,1603,
支付的其他与经营活动有关的现金(万元),205973,243007,250287,196507,187622,149910,98308,64534,45010,28640,22807,15847,8219,8771,3930,10041,5193,
经营活动现金流出小计(万元),3448318,2703740,2568917,2269281,1695929,1246884,870721,605739,393400,285861,227882,155309,86946,75172,41653,45597,29626,
经营活动产生的现金流量净额(万元),172756,440153,160060,95532,91423,47074,20076,-1708,35648,48191,7422,12356,4640,267,6780,-2922,2362,
收回投资所收到的现金(万元),146336,163420,350025,15488,7366,35920,196320,91000,--,--,--,--,5,7779,4214,2094,0,
取得投资收益所收到的现金(万元),3528,1235,1121,101,554,2432,785,721,807,9,--,--,--,--,1,0,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4803,222,596,671,255,72,58,104,134,75,120,78,52,19,67,165,70,
处置子公司及其他营业单位收到的现金净额(万元),38571,60342,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
收到的其他与投资活动有关的现金(万元),4976,8914,2631,755,3594,3800,6289,636,484,--,--,--,--,--,0,0,0,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资活动现金流入小计(万元),198214,234132,354372,17014,11769,42223,203451,92461,1425,84,120,78,57,7799,4283,2259,70,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),122745,64172,53110,55212,28781,56431,36798,12732,16556,18113,10785,2937,2204,3623,2075,1356,2843,
投资所支付的现金(万元),258905,179097,382576,14430,12380,11010,160670,164170,--,590,1360,40,1000,7281,850,2978,0,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
取得子公司及其他营业单位支付的现金净额(万元),--,--,--,8078,--,114,--,1443,--,--,--,--,--,3000,0,0,0,
支付的其他与投资活动有关的现金(万元),2052,9854,2666,13959,100,344,2400,523,163,279,--,--,--,--,0,0,0,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资活动现金流出小计(万元),383702,253123,438352,91679,41260,67899,199868,178868,16719,18981,12145,2977,3204,13904,2925,4334,2843,
投资活动产生的现金流量净额(万元),-185488,-18991,-83980,-74664,-29491,-25676,3583,-86406,-15294,-18898,-12025,-2899,-3146,-6105,1358,-2075,-2773,
吸收投资收到的现金(万元),6737,7022,16555,90257,4077,13854,5325,49439,98534,--,530,10122,--,38955,18,25,2620,
其中：子公司吸收少数股东投资收到的现金(万元),6737,7022,7444,9484,4077,13854,5325,150,--,--,--,--,--,--,18,25,620,
取得借款收到的现金(万元),380687,518309,504340,662329,485736,148680,56137,28341,7657,24045,17697,23132,6509,684,7260,13500,6453,
发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
收到其他与筹资活动有关的现金(万元),5452,322467,124093,127493,41210,5604,14677,30509,24740,4110,16015,5592,504,--,0,0,0,
筹资活动现金流入小计(万元),392876,847797,644989,880080,531024,168138,76139,108288,130931,28155,34242,38846,7013,39639,7277,13525,9073,
偿还债务支付的现金(万元),243267,446842,650558,657905,384763,97713,6117,32615,24608,6137,28103,14557,--,1868,8500,9000,3453,
分配股利、利润或偿付利息所支付的现金(万元),88506,44957,40286,69304,35659,26684,11839,12029,10004,7117,7205,4161,1529,47,959,3446,97,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
支付其他与筹资活动有关的现金(万元),11716,295436,131533,115220,66117,29183,39102,26138,5814,22727,4950,16015,5594,504,0,0,0,
筹资活动现金流出小计(万元),343489,787235,822377,842429,486539,153579,57058,70781,40426,35981,40258,34733,7123,2418,9459,12446,3550,
筹资活动产生的现金流量净额(万元),49386,60562,-177388,37651,44485,14559,19081,37507,90505,-7825,-6015,4113,-110,37221,-2182,1079,5523,
汇率变动对现金及现金等价物的影响(万元),-10742,-19297,4497,5442,-7667,1412,1135,58,-1127,316,-84,87,25,30,0,0,0,
现金及现金等价物净增加额(万元),25912,462427,-96810,63960,98750,37368,43876,-50549,109732,21784,-10702,13657,1408,31413,5956,-3918,5112,
加:期初现金及现金等价物余额(万元),735845,273419,370228,306268,207518,170149,126274,176822,67090,45306,56008,42351,40942,9529,2893,6811,1700,
期末现金及现金等价物余额(万元),761758,735845,273419,370228,306268,207518,170149,126274,176822,67090,45306,56008,42351,40942,8849,2893,6811,
净利润(万元),341155,393524,316086,259459,237679,181015,138112,114426,113014,69665,37556,25963,11711,10404,8577,4875,4576,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
资产减值准备(万元),4990,12858,53005,35900,24551,12915,19228,7936,9856,3795,2672,1134,933,179,-30,1205,367,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),31831,26278,23871,19749,13449,10358,8478,7318,4077,3071,2112,1453,1121,748,477,553,297,
无形资产摊销(万元),4606,4622,4001,3235,2777,1459,632,584,565,559,495,437,271,90,27,153,1,
长期待摊费用摊销(万元),2836,2194,1825,887,--,65,74,74,--,--,--,--,--,--,0,0,0,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
处置固定资产、无形资产和其他长期资产的损失(万元),-3420,-51,-84,-2,-77,35,-17,8,-9,16,26,17,26,51,14,36,0,
固定资产报废损失(万元),110,70,25,98,923,--,--,0,1,1,0,--,--,--,22,0,0,
公允价值变动损失(万元),-12538,-18573,-4186,3860,--,-285,523,-89,-397,184,93,-27,-1,1,0,0,0,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
财务费用(万元),40330,42625,9646,-3806,21387,-3831,-6151,980,1314,235,96,23,23,-704,-85,184,80,
投资损失(万元),19426,-97559,9557,7929,2951,-664,-1401,-756,-775,103,404,0,-0,52,-93,-718,0,
递延所得税资产减少(万元),-13320,-16250,-17458,-17125,-6009,-2274,-5425,1455,-7365,-789,-386,-250,-142,-24,-40,-58,-16,
递延所得税负债增加(万元),-549,1671,43,467,2176,834,-907,1925,-189,323,53,331,--,-54,54,0,0,
存货的减少(万元),-192752,-130147,-83974,-2918,-64032,-70456,-25612,-34141,-27923,-12246,-23151,-14049,-9346,-4610,-2519,-1859,-6471,
经营性应收项目的减少(万元),-254737,-26959,-310766,-352390,-411027,-212779,-294288,-139473,-134701,-47374,-40400,-25764,-12815,-2922,-1793,-16609,-7089,
经营性应付项目的增加(万元),118994,171191,139049,143607,266835,130416,186205,37971,78077,30044,25396,20558,12860,-2946,2168,9317,10617,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他(万元),1271,17091,19420,-3418,-158,267,625,73,105,604,2454,2530,--,--,0,0,0,
经营活动产生现金流量净额(万元),172756,440153,160060,95532,91423,47074,20076,-1708,35648,48191,7422,12356,4640,267,6780,-2922,2362,
债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
现金的期末余额(万元),761758,735845,273419,369099,306138,207518,170149,126274,176822,67090,45306,56008,42351,40942,8849,2893,6811,
现金的期初余额(万元),735845,273419,369099,306138,207518,170149,126274,176822,67090,45306,56008,42351,40942,9529,2893,6811,1700,
现金等价物的期末余额(万元),--,--,--,1129,130,--,--,--,--,--,--,--,--,--,0,0,0,
现金等价物的期初余额(万元),--,--,1129,130,--,--,--,--,--,--,--,--,--,--,0,0,0,
现金及现金等价物的净增加额(万元),25912,462427,-96810,63960,98750,37368,43876,-50549,109732,21784,-10702,13657,1408,31413,5956,-3918,5112,

