报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),200003,160369,124626,79710,60994,59481,51261,46740,43541,47440,42300,30057,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
收到的税费返还(万元),133,127,45,70,517,853,614,558,552,498,544,513,
收到的其他与经营活动有关的现金(万元),6920,3666,4689,1385,2040,1504,1991,2495,1172,11331,2009,2251,
经营活动现金流入小计(万元),207056,164162,129360,81164,63551,61838,53866,49793,45265,59269,44853,32820,
购买商品、接受劳务支付的现金(万元),97243,69662,47140,29812,26831,29818,24470,24037,21587,22231,16227,15713,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
支付给职工以及为职工支付的现金(万元),13010,11500,9079,6591,6196,4895,4252,3608,3243,2046,1730,1218,
支付的各项税费(万元),16804,18057,13846,10894,7258,7138,5411,5230,5503,4947,5142,2837,
支付的其他与经营活动有关的现金(万元),25662,20754,14489,7216,7718,7023,6916,6072,6985,8586,7900,5928,
经营活动现金流出小计(万元),152718,119973,84554,54513,48004,48874,41049,38947,37318,37810,30998,25697,
经营活动产生的现金流量净额(万元),54339,44189,44806,26651,15548,12963,12817,10846,7947,21459,13855,7124,
收回投资所收到的现金(万元),45000,95000,85000,205600,202700,181545,79900,--,--,--,--,--,
取得投资收益所收到的现金(万元),351,1086,3200,1730,2615,3175,2116,--,--,--,--,--,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),199,71,74,143,142,250,26,9,14,--,12,--,
处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
收到的其他与投资活动有关的现金(万元),--,--,60,--,--,31,32,--,68,247,149,69,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资活动现金流入小计(万元),45550,96157,88335,207473,205457,185001,82074,9,82,247,161,69,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),27960,29172,10250,4606,3916,8668,9180,9149,5763,3456,2544,5459,
投资所支付的现金(万元),45000,83750,54000,223600,206200,152000,142945,--,--,--,--,--,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,4500,--,--,
支付的其他与投资活动有关的现金(万元),--,362,--,--,--,--,55,--,--,--,--,--,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资活动现金流出小计(万元),72960,113284,64250,228206,210116,160668,152180,9149,5763,7956,2544,5459,
投资活动产生的现金流量净额(万元),-27410,-17127,24084,-20733,-4659,24333,-70105,-9140,-5681,-7709,-2383,-5389,
吸收投资收到的现金(万元),--,--,165,3535,--,--,--,45656,--,--,--,500,
其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,6000,5000,16000,
发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
收到其他与筹资活动有关的现金(万元),--,--,--,1100,351,--,--,--,--,--,--,--,
筹资活动现金流入小计(万元),0,0,165,4635,351,0,0,45656,0,6000,5000,16500,
偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,8000,6000,16400,
分配股利、利润或偿付利息所支付的现金(万元),30367,29897,19840,10000,10000,7000,5000,--,1800,6853,287,247,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,2000,--,--,
支付其他与筹资活动有关的现金(万元),--,15,--,--,1451,--,--,825,--,--,--,--,
筹资活动现金流出小计(万元),30367,29912,19840,10000,11451,7000,5000,825,1800,14853,6287,16647,
筹资活动产生的现金流量净额(万元),-30367,-29912,-19675,-5365,-11100,-7000,-5000,44831,-1800,-8853,-1287,-147,
汇率变动对现金及现金等价物的影响(万元),--,--,-2,--,0,0,-0,--,--,--,--,--,
现金及现金等价物净增加额(万元),-3438,-2851,49213,552,-212,30296,-62288,46537,465,4897,10185,1588,
加:期初现金及现金等价物余额(万元),82796,85647,36433,35881,36092,5796,68085,21548,21082,16185,6000,4412,
期末现金及现金等价物余额(万元),79358,82796,85647,36433,35881,36092,5796,68085,21548,21082,16185,6000,
净利润(万元),46001,37753,30519,20266,15564,13773,10768,8805,8083,6261,8611,6285,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
资产减值准备(万元),17,58,34,33,10,29,-7,15,-10,-77,87,-134,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),3174,3231,3190,3041,2152,2715,2389,2147,1695,1211,935,612,
无形资产摊销(万元),545,378,281,239,232,206,200,155,109,35,32,32,
长期待摊费用摊销(万元),7,--,8,82,169,167,93,6,--,--,--,--,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,
处置固定资产、无形资产和其他长期资产的损失(万元),-30,30,-16,441,21,247,16,-3,2,--,25,--,
固定资产报废损失(万元),--,--,-10,--,--,--,--,--,--,--,--,--,
公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
财务费用(万元),--,--,2,--,-0,-0,0,--,-68,-146,-63,177,
投资损失(万元),-351,-1086,-3200,-1730,-2615,-3175,-2061,--,--,--,--,--,
递延所得税资产减少(万元),-443,178,-129,-64,-41,6,-10,1,-8,11,2,-28,
递延所得税负债增加(万元),--,0,93,--,--,--,--,--,--,--,--,--,
存货的减少(万元),-1552,949,-2542,-773,-988,46,-163,-390,367,563,176,-1860,
经营性应收项目的减少(万元),2025,-3537,-923,-675,190,-379,423,-622,183,9190,-1956,2626,
经营性应付项目的增加(万元),4848,5424,14645,5299,854,-673,1168,733,-2405,2373,6004,-585,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他(万元),97,812,2856,493,--,--,--,--,--,2038,--,--,
经营活动产生现金流量净额(万元),54339,44189,44806,26651,15548,12963,12817,10846,7947,21459,13855,7124,
债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
现金的期末余额(万元),79358,82796,85647,36433,35881,36092,5796,68085,21548,21082,16185,6000,
现金的期初余额(万元),82796,85647,36433,35881,36092,5796,68085,21548,21082,16185,6000,4412,
现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物的净增加额(万元),-3438,-2851,49213,552,-212,30296,-62288,46537,465,4897,10185,1588,

