报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
销售商品、提供劳务收到的现金(万元),6769957,5921881,5407545,3889433,2524839,2261922,1996151,--,1798059,--,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,
收到的税费返还(万元),229773,140874,150076,131783,135080,160017,129875,--,100874,--,
收到的其他与经营活动有关的现金(万元),314798,212571,75209,105909,67872,79797,1056001,--,49851,--,
经营活动现金流入小计(万元),7314528,6275327,5632830,4127125,2727791,2501736,3182026,2184100,1948785,2034100,
购买商品、接受劳务支付的现金(万元),2501982,2057126,1749303,1387335,921685,643701,619977,--,374959,--,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,
支付给职工以及为职工支付的现金(万元),763277,610147,525872,457072,277698,238404,182329,--,167445,--,
支付的各项税费(万元),661591,531727,505322,430926,324387,345604,296882,--,292282,--,
支付的其他与经营活动有关的现金(万元),327788,235369,172607,176520,125407,178606,300441,--,994807,--,
经营活动现金流出小计(万元),4254638,3434370,2953104,2451852,1649177,1406315,1399629,1698500,1829492,811900,
经营活动产生的现金流量净额(万元),3059890,2840957,2679726,1675274,1078614,1095421,1782397,485544,119293,1222113,
收回投资所收到的现金(万元),801623,--,440,27644,54221,45000,38791,--,422888,--,
取得投资收益所收到的现金(万元),148775,47283,43118,92816,41140,44754,16799,--,5981,--,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),76,330,564,10953,1730,22213,6216,--,565,--,
处置子公司及其他营业单位收到的现金净额(万元),70831,--,--,5543,--,7073,1230,--,--,--,
收到的其他与投资活动有关的现金(万元),475169,264809,58236,180828,79708,12493,21077,--,498885,--,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,
投资活动现金流入小计(万元),1496474,312422,102358,317784,176799,131533,84113,109500,928319,204000,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1565328,1663059,1914295,1790546,1186844,1245797,1019301,874400,1139531,712700,
投资所支付的现金(万元),873055,55470,49874,86497,53588,80713,240273,213600,423437,571100,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,
取得子公司及其他营业单位支付的现金净额(万元),--,23502,553633,300000,961219,--,--,--,--,--,
支付的其他与投资活动有关的现金(万元),521775,208596,37303,65019,42361,214556,11243,--,3880,--,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,
投资活动现金流出小计(万元),2960157,1950627,2555104,2242062,2244012,1541067,1270817,1098500,1566848,1289100,
投资活动产生的现金流量净额(万元),-1463684,-1638205,-2452746,-1924278,-2067213,-1409534,-1186704,-988942,-638529,-1085137,
吸收投资收到的现金(万元),1378163,313353,110319,114185,209866,3237631,87601,125600,311850,0,
其中：子公司吸收少数股东投资收到的现金(万元),137094,313353,110319,114185,209866,64906,87601,--,311850,--,
取得借款收到的现金(万元),5198170,4640367,6811091,6060089,2419018,2914632,2952281,3785500,4607776,4440400,
发行债券收到的现金(万元),--,--,--,--,--,--,--,--,197000,--,
收到其他与筹资活动有关的现金(万元),131550,57720,526391,57500,--,354114,1655,--,--,--,
筹资活动现金流入小计(万元),6707883,5011440,7447801,6231774,2628884,6506377,3389139,4326300,5117643,5036100,
偿还债务支付的现金(万元),6161296,4451934,6003613,5017830,2336544,2793101,2931371,1736600,3381209,3890100,
分配股利、利润或偿付利息所支付的现金(万元),1747575,1613479,1467015,1271649,1138681,1002261,883184,--,803498,--,
其中：子公司支付给少数股东的股利、利润(万元),420465,290715,238816,138543,99166,107269,80160,2016800,101419,422200,
支付其他与筹资活动有关的现金(万元),81343,37029,2196,1119,158969,450003,181,--,--,--,
筹资活动现金流出小计(万元),7990214,6102443,7472823,6290598,3634194,4458901,3814736,4283100,4184707,5366200,
筹资活动产生的现金流量净额(万元),-1282331,-1091002,-25023,-58824,-1005311,2047476,-425597,43262,932937,-330122,
汇率变动对现金及现金等价物的影响(万元),7765,16776,-16039,15352,15515,-1423,-2496,--,-3079,--,
现金及现金等价物净增加额(万元),321640,128526,185918,-292476,-1978395,1731941,167600,-461349,410622,-195486,
加:期初现金及现金等价物余额(万元),1163772,1035246,845653,1138130,2696255,939276,771677,--,822404,--,
期末现金及现金等价物余额(万元),1485412,1163772,1031571,845653,717859,2671217,939276,--,1233026,--,
净利润(万元),1478524,1368168,1279691,917034,761654,676357,516895,--,524300,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,
资产减值准备(万元),3015,10719,29862,15628,4351,4529,7789,--,8916,--,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),973466,738706,669741,424768,304726,287835,234386,--,233992,--,
无形资产摊销(万元),40696,36645,30374,28533,17011,15349,13065,--,7745,--,
长期待摊费用摊销(万元),12790,20265,21136,14258,9160,7994,4569,--,20804,--,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,
处置固定资产、无形资产和其他长期资产的损失(万元),2731,3354,624,1489,1228,2522,1552,--,2464,--,
固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,
公允价值变动损失(万元),-447,-1608,-20744,-12041,-1501,35416,-16341,--,14089,--,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,
预计负债(万元),--,--,--,--,--,--,--,--,--,--,
财务费用(万元),781269,598624,626518,379813,271542,313574,275121,--,207898,--,
投资损失(万元),-130706,-104456,-231214,-112772,-51689,-60263,-32598,--,-25661,--,
递延所得税资产减少(万元),-12518,-24190,13167,-18917,-862,-772,-880,--,-2131,--,
递延所得税负债增加(万元),2410,1660,-2140,-28390,5194,7702,24259,--,22558,--,
存货的减少(万元),357842,-181767,-314322,-224889,-134877,-65490,-89149,--,-4304,--,
经营性应收项目的减少(万元),-677244,153235,8498,6738,-158889,-45709,818568,--,-452000,--,
经营性应付项目的增加(万元),159620,327647,566353,281224,45115,-89118,23494,--,-441121,--,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,
其他(万元),68441,--,--,--,--,--,--,--,--,--,
经营活动产生现金流量净额(万元),3059890,2840957,2679726,1675274,1078614,1095421,1782397,--,119293,--,
债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,
融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,
现金的期末余额(万元),1485412,1163772,1031571,845653,717859,2671217,939276,--,1233026,--,
现金的期初余额(万元),1163772,1035246,845653,1138130,2696255,939276,771677,--,822404,--,
现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,
现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,
现金及现金等价物的净增加额(万元),321640,128526,185918,-292476,-1978395,1731941,167600,-461349,410622,--,

