 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),124454940,105679709,92618228,79686031,76619130,71225252,56880501,45514035,35799937,26020889,20535408,16304588,13207423,10084422, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到的税费返还(万元),4594,2186,3603,3582,10522,5540,5825,--,0,0,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),3453242,1688375,1460512,1005439,961649,1165278,817980,523226,361546,189143,116932,90781,82234,88646, 
 经营活动现金流入小计(万元),127912776,107370270,94082343,80695053,77591302,72396070,57704306,46037261,36161483,26210032,20652340,16395369,13289656,10173069, 
 购买商品、接受劳务支付的现金(万元),113591466,99248871,72343089,65541778,66457414,64418251,51162113,41604627,32895993,22245920,18209697,14804568,11949165,9062342, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),6771073,5325738,4664981,3903158,3423771,3132488,2341847,1937558,1418133,1072812,909986,758452,506058,501194, 
 支付的各项税费(万元),5088653,4655628,5319192,4725597,4075417,3592877,2798315,2317648,1545555,1156498,1000884,696583,467339,336124, 
 支付的其他与经营活动有关的现金(万元),1430455,2485725,1050296,1064155,1144065,990571,1162701,946163,466290,393390,271411,245185,193619,204625, 
 经营活动现金流出小计(万元),126881647,111715963,83377557,75234688,75100667,72134187,57464976,46805995,36325970,24868620,20391978,16504787,13116180,10104285, 
 经营活动产生的现金流量净额(万元),1031129,-4345693,10704786,5460364,2490634,261883,239330,-768733,-164488,1341412,260362,-109418,173476,68784, 
 收回投资所收到的现金(万元),623269,1497319,1465255,1137828,1405007,1800885,103110,20438,566,25103,40642,60586,54324,30437, 
 取得投资收益所收到的现金(万元),186031,143996,190453,130038,130099,272994,164339,53597,82246,30708,73839,18854,3084,2722, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),72525,101199,226772,90762,78541,83972,82401,66302,54378,30401,52927,75289,29639,40502, 
 处置子公司及其他营业单位收到的现金净额(万元),--,186604,--,--,2896,--,--,--,87716,27939,0,5574,61633,71259, 
 收到的其他与投资活动有关的现金(万元),1623969,1368638,1264901,246808,551109,732949,793901,352442,606236,131045,63752,105000,7008,1621, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流入小计(万元),2505793,3297755,4125866,1605435,2167652,2890800,1143750,492779,831142,245196,231160,265302,155688,146540, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1862401,1741835,1313395,1350648,1324655,1439061,973892,1884134,1615763,505547,459632,335432,257664,177913, 
 投资所支付的现金(万元),1910952,3520679,2200784,1508431,1947695,1677670,371726,262920,963102,234982,86774,48057,76356,77411, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),30266,194125,--,72513,74984,80204,338991,168392,403938,68232,47184,32403,50319,46, 
 支付的其他与投资活动有关的现金(万元),1977526,2409149,1081601,473219,366992,530873,782105,519330,610975,265076,446295,277616,132776,6822, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流出小计(万元),5787136,7865788,4599077,3404817,3714326,3727809,2466714,2834776,3593778,1174990,1039884,693508,517114,262192, 
 投资活动产生的现金流量净额(万元),-3281343,-4568033,-473211,-1799382,-1546675,-837009,-1322963,-2341997,-2762636,-929794,-808725,-428206,-361426,-115652, 
 吸收投资收到的现金(万元),5361963,1942520,81287,1535597,468155,22506,295509,144296,30995,5100525,55604,422964,99264,48755, 
 其中：子公司吸收少数股东投资收到的现金(万元),4762063,1193756,81287,38056,268478,22506,295509,144296,30995,151733,55604,262603,99137,48755, 
 取得借款收到的现金(万元),14122784,13997511,11524225,11112306,7402683,6205334,7850934,5994657,5369541,2622651,2933951,2462825,4563097,965770, 
 发行债券收到的现金(万元),3347065,1707788,3096135,3048441,3229103,2783682,2124968,997744,1651269,0,610700,372405,200000,238247, 
 收到其他与筹资活动有关的现金(万元),1602610,972542,530508,318423,75388,276493,228058,99760,135013,50367,25078,0,112786,6604, 
 筹资活动现金流入小计(万元),24434422,18620361,15232155,16014766,11175329,9288015,10499468,7236457,7186818,7773543,3625332,3258193,4975147,1259376, 
 偿还债务支付的现金(万元),14283581,11990429,12095143,11045705,6880251,6388281,5643976,2972790,3485695,3247805,1812775,1385623,4369629,819206, 
 分配股利、利润或偿付利息所支付的现金(万元),3223005,2922702,2696352,2170478,1839486,1601397,1150099,622686,460831,321473,294140,227060,166759,122431, 
 其中：子公司支付给少数股东的股利、利润(万元),609132,452579,376950,243658,192659,168629,145907,128843,112639,84691,54202,53187,31655,22923, 
 支付其他与筹资活动有关的现金(万元),433304,251737,384137,77377,635439,161713,143833,62178,45228,129394,101375,178821,22369,0, 
 筹资活动现金流出小计(万元),17947396,15206045,15423633,13319722,9355871,8180614,6944368,3672212,3991755,3698672,2208289,1791504,4558756,941637, 
 筹资活动产生的现金流量净额(万元),6487026,3414316,-191478,2695044,1819458,1107400,3555101,3564246,3195064,4074870,1417043,1466689,416391,317740, 
 汇率变动对现金及现金等价物的影响(万元),262125,-263505,190532,46500,54671,-42462,-2646,-35271,-30762,-1512,-33189,37478,8095,-8629, 
 现金及现金等价物净增加额(万元),4498937,-5762916,10230629,6402525,2818088,489813,2468822,418245,237179,4484976,835492,966544,236537,262242, 
 加:期初现金及现金等价物余额(万元),25382082,31144998,20914369,14511844,11693757,11185185,8716363,8067016,7827574,3319418,2483896,1517352,1280815,1018573, 
 期末现金及现金等价物余额(万元),29881019,25382082,31144998,20914369,14511844,11674997,11185185,8485261,8064753,7804394,3319388,2483896,1517352,1280815, 
 净利润(万元),5535020,4664902,4117224,3594281,3317681,2933347,2277670,1923854,1471521,907512,463921,706524,358931,237317, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 资产减值准备(万元),1046590,704949,536555,375631,452426,166643,261260,83047,130446,60657,40958,44453,27156,27073, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),653071,581929,531673,515594,447779,361607,319469,250640,218279,158385,123195,123728,89175,83327, 
 无形资产摊销(万元),44044,57279,50449,29564,26501,31377,21799,14537,7940,6450,7446,5762,2067,2021, 
 长期待摊费用摊销(万元),18988,14481,14141,39762,34648,39520,23558,5387,3981,3311,2868,4600,2433,3453, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-17511,-4549,-22038,-22379,-21373,-14066,-13306,1297,-5836,-4735,-8072,-4035,-2697,-7443, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 公允价值变动损失(万元),36834,46149,-74646,60758,22212,-3250,-20098,21757,2507,7219,5909,5435,-15713,-3059, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,73400,82203,2996,4754,0,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 财务费用(万元),1256854,817728,996459,939189,797792,699431,538482,379970,209371,147359,170175,143489,120275,94857, 
 投资损失(万元),-564631,-441092,-613151,-185514,-232102,-537384,-299570,-199239,-155570,-21372,-32324,-70144,-108484,-21369, 
 递延所得税资产减少(万元),-251108,-168935,-130443,-118335,-132615,-53579,-129406,-128582,-74000,-22144,-28606,827,-2018,735, 
 递延所得税负债增加(万元),-64439,-159017,-143853,11187,-33607,34062,-2974,16385,-95288,38451,15941,3440,3372,-1621, 
 存货的减少(万元),-9612573,-5554503,93271,502363,-2946615,-6009605,-4369590,-4410730,-4427456,-50430,-1243731,-1533973,-763531,-397015, 
 经营性应收项目的减少(万元),-10836557,-7975985,-8789063,-9354242,-6900831,-4653068,-3221472,-3271503,-389727,-2595058,-309570,-778141,-535113,-598809, 
 经营性应付项目的增加(万元),13588122,3549821,14184668,9117207,7832458,7351809,5307118,5718226,3756888,3210019,1397090,1957420,1348731,834405, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,-1549480,-1125914,-687182,-523690,-782151,-279918,-320666, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,283901,200389,160433,169062,57457,-75805,129758, 
 其他(万元),18893,-4979,-20318,-18864,-9638,1541,-199018,--,0,0,0,0,0,285, 
 经营活动产生现金流量净额(万元),1031129,-4345693,10704786,5460364,2490634,261883,239330,-768733,-164488,1341412,260362,-109418,173476,68784, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 现金的期末余额(万元),29881019,25382082,31144998,20914369,14511844,11674997,11185185,8485261,8064753,7804394,3319388,2483896,1517352,1280815, 
 现金的期初余额(万元),25382082,31144998,20914369,14511844,11693757,11185185,8716363,8067016,7827574,3319418,2483896,1517352,1280815,1018573, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
