报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),10423533,9925138,7337919,6986196,7682107,8845175,9095314,9389538,8229488,6660806,6225179,4402040,3810082,2678265,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
收到的税费返还(万元),33519,13193,16584,16159,35300,23591,2753,2038,1908,1089,4695,541,598,265,
收到的其他与经营活动有关的现金(万元),67542,85723,66324,93787,173415,129958,115632,104503,81920,54715,33776,29560,13345,5159,
经营活动现金流入小计(万元),10524593,10024054,7420827,7096141,7890823,8998724,9213698,9496079,8313315,6716610,6263651,4432141,3824024,2683689,
购买商品、接受劳务支付的现金(万元),6575108,6373121,4332354,3554963,3713421,4796489,4625477,6142836,6067708,4185184,4230617,2986631,2013579,1312621,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
支付给职工以及为职工支付的现金(万元),724981,649419,388172,436088,445672,410872,413353,292058,243029,221015,194111,166038,151205,143303,
支付的各项税费(万元),717849,727048,555840,793275,982841,911829,874844,679388,568224,463765,567455,476838,526519,414169,
支付的其他与经营活动有关的现金(万元),339679,343056,330252,266517,243931,254813,293254,213020,140883,95687,96983,86201,74716,68504,
经营活动现金流出小计(万元),8357617,8092645,5606618,5050843,5385865,6374003,6206928,7327301,7019844,4965651,5089166,3715708,2766019,1938597,
经营活动产生的现金流量净额(万元),2166976,1931409,1814209,2045298,2504957,2624721,3006771,2168777,1293471,1750959,1174485,716433,1058006,745092,
收回投资所收到的现金(万元),--,--,47188,241585,142461,103308,418692,63970,--,57520,26233,27407,--,0,
取得投资收益所收到的现金(万元),129115,90090,87013,68708,79990,43477,109396,57031,57371,25554,35172,11065,5423,3011,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),29290,1470,10613,33474,206788,143,33553,182278,803,20969,75875,152060,124,4904,
处置子公司及其他营业单位收到的现金净额(万元),--,1069,2364,1830,-2661,--,35513,1251,12277,--,21878,--,--,0,
收到的其他与投资活动有关的现金(万元),50218,4771,2494,10248,10699,41322,39971,22444,18210,55722,24131,18198,42140,7502,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
投资活动现金流入小计(万元),208623,97400,149672,355845,437277,188250,637124,326974,88660,159765,183289,208730,47686,15417,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1241871,1557099,1008407,1639175,1818661,2036141,3258307,2667685,2605316,2284421,2750019,3324650,2596840,1539412,
投资所支付的现金(万元),555667,43174,25907,45991,38866,250424,215426,497479,265095,345688,302823,261675,18682,108218,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,4122,--,59849,93000,--,0,--,--,0,
支付的其他与投资活动有关的现金(万元),19334,--,--,45351,--,--,57927,82503,683,8428,5687,1985,11863,0,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
投资活动现金流出小计(万元),1816871,1600272,1034315,1730517,1857526,2290687,3531660,3307516,2964094,2638537,3058529,3588310,2627385,1647630,
投资活动产生的现金流量净额(万元),-1608249,-1502872,-884642,-1374672,-1420249,-2102437,-2894536,-2980543,-2875434,-2478772,-2875240,-3379580,-2579699,-1632213,
吸收投资收到的现金(万元),1823180,1874806,45098,77814,115106,168597,513765,201235,1084289,377808,200368,19805,113151,366541,
其中：子公司吸收少数股东投资收到的现金(万元),23180,39135,45098,77814,115106,168597,513765,201235,407658,47927,200368,--,113151,40746,
取得借款收到的现金(万元),9003225,10257141,5782483,9134294,7496487,6996756,7781869,8884652,6723774,7844833,10150977,8716792,5104576,3418208,
发行债券收到的现金(万元),--,--,--,--,--,--,--,--,437600,--,596700,--,--,0,
收到其他与筹资活动有关的现金(万元),390899,171485,88222,279490,1228415,254044,433057,295410,218717,63820,1392,445938,416,107,
筹资活动现金流入小计(万元),11217305,12303433,5915803,9491598,8840009,7419397,8728691,9381297,8464381,8286461,10949437,9182535,5218142,3784855,
偿还债务支付的现金(万元),10484344,9036417,5697011,8637029,8074870,6447387,6897273,7088659,5631504,6325213,8700618,5462318,3205965,2121654,
分配股利、利润或偿付利息所支付的现金(万元),1273580,1112823,857497,1167986,1442141,1551902,1399211,1376597,1100478,906662,855153,831466,564449,413769,
其中：子公司支付给少数股东的股利、利润(万元),286292,88151,194484,211044,207865,251516,140552,123216,106721,95886,0,--,77515,57371,
支付其他与筹资活动有关的现金(万元),359554,2042735,321295,426638,389256,230118,217747,90486,50600,135310,67844,56177,5970,19579,
筹资活动现金流出小计(万元),12117478,12191975,6875803,10231652,9906267,8229406,8514231,8555742,6782582,7367185,9623615,6349960,3776384,2555002,
筹资活动产生的现金流量净额(万元),-900174,111458,-959999,-740055,-1066259,-810009,214461,825555,1681799,919277,1325822,2832575,1441759,1229854,
汇率变动对现金及现金等价物的影响(万元),-227,-5523,-399,-435,155,968,120,742,2604,2190,53,1426,-312,-539,
