报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),724751,506594,773953,827437,630637,1010761,445509,696176,761324,965820,467749,328640,267966,34834,30278,10080,
结算备付金(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
拆出资金(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
交易性金融资产(万元),40000,0,1264,2594,0,9007,11684,0,9403,997,467,--,--,0,459,4347,
衍生金融资产(万元),9971,2533,--,--,0,0,--,--,--,--,0,--,--,0,0,--,
应收票据(万元),--,207223,204694,219884,99235,53322,116462,45570,9573,51776,20980,3900,--,0,0,--,
应收账款(万元),1556257,1482300,1500128,1454761,1353403,1076103,863947,965894,1020366,706537,270981,258002,76407,27936,9243,2545,
预付款项(万元),191406,173681,70110,58855,46772,100622,60514,78993,72724,50431,73659,76033,48045,10948,4961,1505,
应收保费(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
应收分保账款(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
应收分保合同准备金(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
应收利息(万元),3689,781,857,21,0,0,--,0,--,240,270,--,--,0,0,--,
应收股利(万元),8000,4345,1162,2063,265,1460,786,3399,1884,1019,187,--,--,0,0,--,
其他应收款(万元),118835,123159,96663,79609,41076,70158,51654,47395,41737,34989,8268,27500,1794,862,397,63,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
买入返售金融资产(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
存货(万元),812384,499668,408301,319228,303720,364958,300248,351163,514824,439072,285355,211920,97155,29157,10564,4735,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
一年内到期的非流动资产(万元),200411,102441,49748,33638,14513,6098,1193,0,--,--,0,--,0,0,0,--,
其他流动资产(万元),221890,150617,96252,57207,39043,38691,3445,3960,3166,121,657,74,--,1,0,--,
流动资产合计(万元),4844417,3291750,3308133,3309662,2528664,2809489,1929281,2312037,2488424,2250005,1128572,906068,491368,103738,55902,23275,
发放贷款及垫款(万元),--,0,--,--,--,0,--,0,--,--,0,--,--,0,0,--,
可供出售金融资产(万元),--,0,116821,119132,90112,82778,86516,18861,19275,--,0,0,0,0,0,--,
持有至到期投资(万元),30654,30972,5000,5000,0,0,--,0,--,--,0,--,0,0,0,--,
长期应收款(万元),830783,806614,711600,443996,376078,258861,105595,30475,--,--,0,202,0,0,0,--,
长期股权投资(万元),449112,366039,239074,130796,104720,91729,85715,120480,71066,32294,12611,2617,417,270,780,190,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
投资性房地产(万元),3403,11999,6790,7080,7370,7659,7949,8238,8528,8818,8095,11398,5327,0,0,--,
