报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),79913,83938,86513,37008,37182,36792,6437,68659,21853,21284,16554,6236,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,263,48,50,80,91,64,22,25,80,--,--,
应收账款(万元),1773,1483,850,795,479,625,267,451,202,42,165,144,
预付款项(万元),1372,3056,1082,426,390,73,165,527,429,923,324,105,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),34,413,32,133,174,36,16039,16,30,159,9412,7917,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),7964,6413,7361,4829,4068,3079,3125,2962,2572,2939,3502,3679,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,55000,37000,33500,37100,--,--,--,--,--,
流动资产合计(万元),91637,95565,95886,98241,79373,74196,63196,72638,25111,25428,29957,18080,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,7960,24617,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,9945,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,569,597,--,--,
固定资产原值(万元),95784,53277,53021,50342,48143,31100,28980,22018,19322,16904,15470,12375,
累计折旧(万元),22897,20925,17927,--,12996,11378,9429,7111,4813,3149,2077,1188,
固定资产净值(万元),72887,32352,35094,50342,35146,19722,19552,14907,14509,13755,13393,11187,
固定资产减值准备(万元),--,--,--,15201,--,--,--,--,--,--,--,--,
固定资产(万元),72887,32352,35094,35142,35146,19722,19552,14907,14509,13755,13393,11187,
在建工程(万元),8071,23825,1417,175,262,12591,7870,6130,103,45,180,806,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),17412,17471,10293,6064,6248,6321,6351,6371,5676,2870,1517,1549,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),80,--,--,8,90,259,356,95,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1358,802,262,133,69,28,35,25,26,18,28,30,
其他非流动资产(万元),29,84,--,--,--,--,--,60,--,--,--,--,
非流动资产合计(万元),107044,82493,71683,41522,41816,38921,44109,27588,20882,17285,15119,13573,
资产总计(万元),198680,178058,167568,139763,121189,113117,107306,100227,45993,42713,45076,31653,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,2000,3000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),2775,5000,4331,2872,2104,2331,2135,1917,1325,1487,1964,1051,
应付账款(万元),21261,11080,7182,6126,5714,4255,3835,2975,2544,2381,2486,1717,
预收账款(万元),8068,13395,13069,5541,2649,1494,3570,4228,5357,8385,5358,1834,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2731,2667,2190,1711,1182,1254,899,954,827,624,255,208,
应交税费(万元),6112,4395,4311,3001,3108,2389,2497,1998,1565,1734,1223,1150,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,3,3,
应付股利(万元),--,326,182,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
