报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
货币资金(万元),1957165,1520794,1234808,1050993,932560,2880135,939990,773107,1234633,824467,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,5334,5431,1847,3788,
衍生金融资产(万元),315,475,149,1240,1876,923,--,--,--,--,
应收票据(万元),66917,1843,3852,1084,5,557,793,--,306,--,
应收账款(万元),748389,663095,660993,572465,353891,234055,162147,183319,165539,163292,
预付款项(万元),919750,512895,595694,555523,66149,34906,59837,--,42872,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,38845,28232,19204,10085,3268,4035,--,3675,--,
应收股利(万元),7706,14602,18056,80143,57118,--,2222,--,2394,--,
其他应收款(万元),7014,37310,128136,73532,67873,56529,29162,814979,320579,38617,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),1837064,2137226,2655804,1843882,1079029,933736,869759,783368,788415,784441,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),25,366,125,12,417,1818,6658,--,8615,--,
其他流动资产(万元),305876,270362,301244,170221,109581,63715,92657,--,57651,--,
流动资产合计(万元),6192338,5538792,5627092,4373898,2678585,4209641,2172595,--,2626527,--,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,19531,19531,11000,240365,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,19,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1119929,1020302,836363,1203710,1187701,1196848,1331288,1107400,1386552,1189300,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),18375,21035,23967,32033,65205,69728,18251,--,21941,--,
固定资产原值(万元),33113863,--,--,--,--,--,--,--,--,--,
累计折旧(万元),7417223,--,--,--,--,--,--,--,--,--,
固定资产净值(万元),25696640,--,--,--,--,--,--,--,--,--,
固定资产减值准备(万元),1170,--,--,--,--,--,--,--,--,--,
固定资产(万元),25695469,21085021,15914714,10479087,6814568,5884609,4353508,--,4687049,--,
在建工程(万元),3924057,--,11529093,10866613,9723055,3464281,4310412,--,2266142,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),493703,471980,458135,388384,289210,187664,132565,--,83866,--,
开发支出(万元),227423,196246,164528,127381,38858,35147,36770,--,4244,--,
商誉(万元),41924,41924,41924,--,1214,1214,1214,--,1919,--,
长期待摊费用(万元),147343,173466,193676,169133,92094,47234,54163,--,62257,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),190406,177487,153296,166463,13386,10007,9235,--,7389,--,
其他非流动资产(万元),602925,624493,799217,701538,586372,339769,323934,--,189015,--,
非流动资产合计(万元),32605185,31316775,30134445,24153873,18822662,11476864,10571360,--,8710375,--,
资产总计(万元),38797523,36855567,35761537,28527771,21501247,15686505,12743955,12197591,11336901,9279763,
短期借款(万元),1426327,1629624,1958282,1702133,569830,414858,1075514,--,959520,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,356,--,
衍生金融负债(万元),--,272,2993,8414,10151,2353,--,--,--,--,
应付票据(万元),261838,226016,99726,75069,148460,48705,--,--,--,--,
应付账款(万元),1998348,1598690,1634729,1380733,584531,508600,958502,--,741310,--,
预收账款(万元),4,206,510419,356593,3064,4447,26409,--,6391,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),5105,4262,3701,5044,3387,3120,9913,--,6454,--,
应交税费(万元),145675,143129,117339,90935,100313,73478,52187,--,48607,--,
应付利息(万元),--,62916,59709,53252,50044,40760,51763,--,65448,--,
应付股利(万元),478,96890,201959,173471,124928,468913,109277,--,1381067,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),381298,290958,242766,772412,103846,124922,136879,183221,697646,757662,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),2274759,1829511,1107541,1785651,726639,663670,227322,--,119677,--,
其他流动负债(万元),53633,96455,122169,109015,100000,--,--,--,40,--,
流动负债合计(万元),6701790,6062509,6061333,6512791,2525194,2353827,2647766,--,4026515,--,
长期借款(万元),16785981,17963995,18351248,12747202,9806530,5874642,5222133,--,3321163,--,
应付债券(万元),898713,848804,699587,799357,1109107,848901,848704,--,848263,--,
长期应付款(万元),--,--,--,--,--,294311,549628,--,580790,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),491063,400153,324487,246743,175573,152600,128649,--,113528,--,
长期递延收益(万元),187334,139585,99529,98487,82528,71232,--,--,--,--,
递延所得税负债(万元),121723,117728,116068,107494,129312,125914,110781,--,64568,--,
其他非流动负债(万元),--,--,--,574,14063,21517,81455,--,59105,--,
非流动负债合计(万元),18566347,19480493,19597517,14006703,11322086,7392652,6941351,--,4987417,--,
负债合计(万元),25268137,25543002,25658850,20519495,13847280,9746479,9589117,9802057,9013933,7619881,
实收资本(或股本)(万元),5049861,4544875,4544875,4544875,4544875,4544875,1020000,--,373265,--,
资本公积(万元),1070232,335052,308422,52453,335964,452609,-3689513,--,-3350329,--,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,
专项储备(万元),22240,19714,13141,10415,--,--,--,--,--,--,
盈余公积(万元),394434,334150,271212,221834,112078,50415,2607803,--,3078056,--,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),2366772,1807716,1313926,632544,513696,29374,2554330,--,1794102,--,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,-201794,--,-181213,--,
归属于母公司股东权益合计(万元),8980198,7111492,6491899,5546363,5536045,5079524,2290827,--,1713881,--,
少数股东权益(万元),4549189,4201073,3610789,2461914,2117922,860502,864011,--,609087,--,
所有者权益(或股东权益)合计(万元),13529387,11312565,10102687,8008276,7653967,5940026,3154838,2395534,2322969,1659883,
负债和所有者权益(或股东权益)总计(万元),38797523,36855567,35761537,28527771,21501247,15686505,12743955,12197591,11336901,--,		
