报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),406144,417356,161705,32663,30270,32217,37681,27051,36385,28197,29140,22455,11533,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融资产(万元),79,85,--,11111,754,1061,970,510,536,564,297,613,1362,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收票据(万元),--,--,--,100,70,85,--,--,--,2000,--,--,0,
应收账款(万元),139741,111075,18938,10036,10875,10914,16878,14735,10151,7482,7891,8423,7202,
预付款项(万元),16507,12277,8079,1718,2917,3187,3002,3598,2330,1904,948,2129,2224,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收利息(万元),12,3,--,136,449,--,--,--,--,0,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
其他应收款(万元),45003,35099,24854,324,270,628,1503,190,224,217,201,259,443,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
存货(万元),6148,4528,3235,25616,30826,22987,19846,18254,14175,12900,16995,13066,11409,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),--,3581,--,6200,5500,2000,--,--,--,0,--,--,0,
其他流动资产(万元),266777,107223,440444,27618,37381,42648,38374,43158,30877,29400,1500,--,0,
流动资产合计(万元),880411,691227,657253,115521,119311,115728,118255,107497,94677,82664,56972,46945,34172,
