报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),813606,1154175,462171,452837,557389,528850,788084,461269,446737,344298,150644,564538,369832,445128,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收票据(万元),111100,105072,80409,49781,51662,50479,29254,46374,26282,19019,14027,39452,74792,1113,
应收账款(万元),1478491,1272233,914462,750591,734307,950004,980886,989304,994573,796844,649464,390668,494548,333753,
预付款项(万元),118739,132608,102598,147613,41809,54126,182649,219531,330243,73271,212808,113303,42912,38894,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收利息(万元),967,30,--,--,--,--,--,--,--,--,0,185,135,7,
应收股利(万元),29390,34176,36176,17376,78399,44413,48674,5750,1817,--,0,0,--,0,
其他应收款(万元),194968,163489,102215,134443,245009,261773,225791,300822,208391,143077,256378,126821,63309,33012,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
存货(万元),406292,463939,291682,276657,385778,374442,368210,521511,609379,401171,185518,214276,105118,80697,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
一年内到期的非流动资产(万元),1166,10651,19827,11166,6336,38598,22243,1303,1201,--,0,0,--,0,
其他流动资产(万元),202671,152173,134552,179028,1344,83172,73950,60801,46051,9222,24,74671,--,0,
流动资产合计(万元),3357388,3488544,2144092,2019492,2102032,2385855,2719741,2606664,2664673,1786901,1468862,1523915,1150645,932604,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
可供出售金融资产(万元),--,--,489765,498283,497033,501394,46239,74185,6753,9104,1870,0,428953,135618,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
长期应收款(万元),8685,7241,5615,13184,17386,22413,22914,83747,9637,12209,19872,12945,--,0,
长期股权投资(万元),1716458,1637500,1505703,1487765,1323508,1283137,1567006,1660742,1134234,937264,664705,402834,178614,127543,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
投资性房地产(万元),62061,64788,61058,54973,57763,59058,46727,53686,50230,21187,0,0,--,0,
固定资产原值(万元),33569848,33093829,25965576,22870959,26780366,24566897,22343433,19917593,17797604,16240154,13103228,10207027,7828091,7161194,
累计折旧(万元),15391615,14461409,10186339,9076026,8368563,7810456,6753590,5810053,5061079,4209303,3439506,2678258,2139292,1628396,
固定资产净值(万元),18178233,18632421,15779237,13794934,18411803,16756442,15589843,14107541,12736525,12030851,9663722,7528769,5688799,5532799,
固定资产减值准备(万元),236024,114101,76170,78829,208572,255104,76669,10159,10159,10159,2112,2112,--,0,
固定资产(万元),17942209,18518320,15703067,13716105,18203231,16501337,15513174,14097382,12726366,12020692,9661610,7526657,5688799,5532799,
在建工程(万元),3176217,3172924,2296593,4238698,6658169,7889551,7648051,6910993,6592255,4964322,4996407,4632776,3660240,1785086,
工程物资(万元),34544,57252,93193,100824,493368,576336,923296,935122,571185,744623,947145,1233962,909882,443358,
固定资产清理(万元),40,--,--,--,--,--,--,--,--,15,0,0,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
无形资产(万元),421303,405455,344216,352703,673307,665559,463537,406978,402450,391880,311260,272968,86742,67273,
开发支出(万元),1915,200,182,2,1,3,5,--,--,--,0,0,--,0,
商誉(万元),79553,89989,89989,89989,89989,89989,89989,89989,70135,57052,53375,53280,17441,4344,
长期待摊费用(万元),56936,71293,18852,19752,71678,86127,46672,29640,29101,29749,7867,69,232,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
递延所得税资产(万元),403308,404943,361118,339360,115090,135556,162860,164564,142521,94427,71608,68670,13018,10783,
其他非流动资产(万元),301612,336237,453936,391115,34281,46821,82119,7734,7468,6165,1851,0,17000,8785,
非流动资产合计(万元),24854644,25303094,21423287,21302751,28234803,27857281,26612590,24514760,21742334,19288686,16737569,14204161,11000919,8115590,
资产总计(万元),28212033,28791639,23567379,23322243,30336835,30243137,29332330,27121424,24407008,21075587,18206431,15728076,12151564,9048193,
短期借款(万元),3485468,2477164,2444144,1101018,1478576,1375313,1823923,2223980,2152371,1937483,1956902,2958411,2260853,930050,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
