日期,股票代码,名称,收盘价,最高价,最低价
2019-11-18,'002304,洋河股份,97.38,97.6,96.3
2019-11-15,'002304,洋河股份,96.9,97.69,96.58
2019-11-14,'002304,洋河股份,97.83,97.99,96.42
2019-11-13,'002304,洋河股份,96.91,97.5,96.03
2019-11-12,'002304,洋河股份,97.52,98.3,97.0
2019-11-11,'002304,洋河股份,97.12,99.14,97.02
2019-11-08,'002304,洋河股份,99.58,100.91,99.52
2019-11-07,'002304,洋河股份,99.51,100.3,99.24
2019-11-06,'002304,洋河股份,100.17,102.56,100.0
2019-11-05,'002304,洋河股份,102.13,103.2,101.7
2019-11-04,'002304,洋河股份,102.48,103.0,99.73
2019-11-01,'002304,洋河股份,100.03,100.55,97.94
2019-10-31,'002304,洋河股份,100.79,102.25,100.0
2019-10-30,'002304,洋河股份,102.3,103.0,100.25
2019-10-29,'002304,洋河股份,105.6,106.75,103.2
2019-10-28,'002304,洋河股份,102.8,102.96,101.1
2019-10-25,'002304,洋河股份,101.76,102.23,101.0
2019-10-24,'002304,洋河股份,100.6,102.4,100.51
2019-10-23,'002304,洋河股份,101.5,103.88,101.0
2019-10-22,'002304,洋河股份,102.98,103.3,102.41
2019-10-21,'002304,洋河股份,102.45,103.15,101.88
2019-10-18,'002304,洋河股份,102.0,103.62,101.75
2019-10-17,'002304,洋河股份,103.75,104.3,102.26
2019-10-16,'002304,洋河股份,103.03,103.18,102.0
2019-10-15,'002304,洋河股份,103.35,104.65,102.93
2019-10-14,'002304,洋河股份,103.77,103.99,102.7
2019-10-11,'002304,洋河股份,102.5,103.53,101.75
2019-10-10,'002304,洋河股份,101.95,102.0,100.01
2019-10-09,'002304,洋河股份,102.3,103.81,101.51
2019-10-08,'002304,洋河股份,103.86,105.2,103.77
2019-09-30,'002304,洋河股份,104.0,104.79,103.5
2019-09-27,'002304,洋河股份,104.49,105.9,103.6
2019-09-26,'002304,洋河股份,105.4,108.48,105.29
2019-09-25,'002304,洋河股份,107.81,108.77,105.45
2019-09-24,'002304,洋河股份,107.0,108.2,105.4
2019-09-23,'002304,洋河股份,106.28,108.0,104.88
2019-09-20,'002304,洋河股份,108.43,108.99,106.3
2019-09-19,'002304,洋河股份,106.15,106.64,104.3
2019-09-18,'002304,洋河股份,105.64,106.5,104.31
2019-09-17,'002304,洋河股份,104.31,104.99,103.26
2019-09-16,'002304,洋河股份,104.34,105.68,103.88
2019-09-12,'002304,洋河股份,105.29,106.24,104.55
